id_bien;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Type local;code_dep_com
11654;25;;ALL;DU VIVIER;3;65.96;65;Appartement;35210
11655;15;;BD;DE LA TOUR D AUVERGNE;2;45.89;45;Appartement;35288
11656;10;;RUE;GILBERT BECAUD;3;82.7;82;Maison;37195
11657;12;;RUE;DE LA BALMETTE;4;98.67;110;Maison;38111
11658;8;;RUE;DU VERCORS;3;62.85;62;Appartement;38151
11659;40;;RUE;PIERRE SEMARD;3;71.18;72;Appartement;38185
11660;7;B;AV;DE VALMY;1;21.02;21;Appartement;38185
11661;27;;RUE;DU DRAC;1;53.02;60;Appartement;38185
11662;25;;AV;DU GRESIVAUDAN;2;57.0;58;Appartement;38229
11663;14;;AV;DE LA PLAINE FLEURIE;4;61.08;63;Appartement;38229
11664;1;;RUE;DES TISSERANDS;1;28.47;28;Appartement;38229
11665;2;;RUE;COMMANDANT KOMAROV;4;77.9;83;Appartement;38421
11666;4;;PL;PIERRE MENDES FRANCE;4;70.16;74;Appartement;38421
11667;11;;RUE;ANDRE CHENIER;4;73.58;72;Appartement;38421
11668;3;;RUE;COQUELINES;3;60.74;61;Appartement;38421
11669;5;;RUE;FONTAINE DE ROME;3;77.8;77;Appartement;39300
11670;107;;RES;DES MAISONS D ALBRET 3;2;28.9;24;Appartement;40310
11671;10;;RUE;MARIE DE LUXEMBOURG;4;107.09;92;Appartement;41269
11672;1;;RUE;DES CARRIERES;4;107.82;112;Appartement;42147
11673;2;;RUE;GREGOIRE GRANGE;3;69.0;67;Appartement;42279
11674;2;;RUE;DES ANCIENNES ECOLES;1;37.18;40;Maison;44036
11675;265;;AV;MAL DE LATTRE DE TASSIGNY;3;65.26;66;Appartement;44055
11676;1;;AV;DES CASCADES;3;62.19;63;Appartement;44109
11677;104;;RUE;DU CORPS DE GARDE;2;45.99;46;Appartement;44109
11678;104;;RUE;DU CORPS DE GARDE;3;61.64;61;Appartement;44109
11679;8;;BD;DU PETIT PORT;1;22.16;22;Appartement;44109
11680;40;;RUE;DE BRETAGNE;5;82.21;85;Maison;44151
11681;145;;BD;FRANCOIS MITTERRAND;4;68.13;68;Appartement;44162
11682;70;;RUE;LOUIS PASTEUR;4;67.32;67;Maison;44190
11683;27;;RUE;JULES GUESDE;2;44.0;44;Appartement;45147
