id_vente;Date mutation;Valeur fonciere;Nature mutation;id_bien
154;2020-01-03;65000;Vente;154
155;2020-01-03;133000;Vente;155
156;2020-01-03;66370;Vente;156
157;2020-01-03;594700;Vente;157
158;2020-01-03;71000;Vente;158
159;2020-01-03;140000;Vente;159
160;2020-01-03;112000;Vente;160
161;2020-01-03;121000;Vente;161
162;2020-01-03;109950;Vente;162
163;2020-01-03;314500;Vente;163
164;2020-01-03;167600;Vente;164
165;2020-01-03;157080;Vente;165
166;2020-01-03;164720;Vente;166
167;2020-01-03;273080;Vente;167
168;2020-01-03;118650;Vente;168
169;2020-01-03;157000;Vente;169
170;2020-01-03;63885;Vente;170
171;2020-01-03;255000;Vente;171
172;2020-01-03;445000;Vente;172
173;2020-01-03;852000;Vente;173
174;2020-01-03;335000;Vente;174
175;2020-01-03;278500;Vente;175
176;2020-01-03;497270;Vente;176
177;2020-01-03;1469500;Vente;177
178;2020-01-03;270000;Vente;178
179;2020-01-03;434000;Vente;179
180;2020-01-03;352000;Vente;180
181;2020-01-03;512000;Vente;181
182;2020-01-03;246150;Vente;182
183;2020-01-03;573721;Vente;183
184;2020-01-03;917350;Vente;184
185;2020-01-03;625500;Vente;185
186;2020-01-03;673315;Vente;186
187;2020-01-03;707350;Vente;187
188;2020-01-03;461200;Vente;188
189;2020-01-03;502700;Vente;189
190;2020-01-03;276000;Vente;190
191;2020-01-03;638000;Vente;191
192;2020-01-03;196500;Vente;192
193;2020-01-03;34500;Vente;193
194;2020-01-03;116000;Vente;194
195;2020-01-03;93200;Vente;195
196;2020-01-03;142000;Vente;196
197;2020-01-03;98000;Vente;197
198;2020-01-03;172500;Vente;198
199;2020-01-03;141000;Vente;199
200;2020-01-03;440000;Vente;200
201;2020-01-03;131600;Vente;201
202;2020-01-03;205000;Vente;202
203;2020-01-03;93800;Vente;203
204;2020-01-03;135450;Vente;204
205;2020-01-03;102000;Vente;205
206;2020-01-03;185000;Vente;206
207;2020-01-03;196100;Vente;207
208;2020-01-03;212231;Vente;208
209;2020-01-03;113000;Vente;209
210;2020-01-03;331000;Vente;210
211;2020-01-03;93000;Vente;211
212;2020-01-03;596370;Vente;212
213;2020-01-03;97000;Vente;213
214;2020-01-03;305000;Vente;214
215;2020-01-03;99840;Vente;215
216;2020-01-03;150020;Vente;216
217;2020-01-03;300000;Vente;217
218;2020-01-03;121000;Vente;218
219;2020-01-03;148570;Vente;219
220;2020-01-03;105840;Vente;220
221;2020-01-03;138000;Vente;221
222;2020-01-03;33000;Vente;222
223;2020-01-03;40000;Vente;223
224;2020-01-03;56650;Vente;224
225;2020-01-03;160000;Vente;225
226;2020-01-03;360000;Vente;226
227;2020-01-03;171000;Vente;227
228;2020-01-03;213500;Vente;228
229;2020-01-03;157500;Vente;229
230;2020-01-03;255680;Vente;230
231;2020-01-03;244000;Vente;231
232;2020-01-03;435000;Vente;232
233;2020-01-03;254000;Vente;233
234;2020-01-03;284984;Vente;234
235;2020-01-03;302000;Vente;235
236;2020-01-03;548000;Vente;236
237;2020-01-03;877100;Vente;237
238;2020-01-03;213615;Vente;238
239;2020-01-03;300800;Vente;239
240;2020-01-03;857950;Vente;240
241;2020-01-03;380000;Vente;241
242;2020-01-03;318700;Vente;242
243;2020-01-03;256760;Vente;243
244;2020-01-03;291262;Vente;244
245;2020-01-03;161320;Vente;245
246;2020-01-03;164000;Vente;246
247;2020-01-03;662300;Vente;247
248;2020-01-03;227600;Vente;248
